sample,site,num,AB,S+AF8-XS,date,temp+AF8-c,ms+AF8-cm,do+AF8-percent,do+AF8-ch,ft,ph,wind+AF8-direction,sample+AF8-num,type,section,geology
NWA+AF8-5B,NWA,5,B,NA,July+AF8-1,23.400,0.933,180.933,49.200,32.951,9.747,N+AF8-S,NWA+AF8-5,Borehole,SKZ,Granite
NWA+AF8-6A,NWA,6,A,NA,July+AF8-2,18.653,0.905,114.900,41.000,33.121,9.657,S+AF8-N,NWA+AF8-6,Borehole,SKZ,Granite
NWA+AF8-6B,NWA,6,B,NA,July+AF8-2,18.653,0.905,114.900,41.000,33.121,9.657,S+AF8-N,NWA+AF8-6,Borehole,SKZ,Granite
NWA+AF8-7A,NWA,7,A,NA,July+AF8-3,17.903,0.912,104.300,40.000,33.138,9.727,None,NWA+AF8-7,Borehole,SKZ,Granite
NWA+AF8-7B,NWA,7,B,NA,July+AF8-3,17.903,0.912,104.300,40.000,33.138,9.727,None,NWA+AF8-7,Borehole,SKZ,Granite
NWA+AF8-8A,NWA,8,A,NA,July+AF8-10,18.063,0.871,68.533,37.267,33.147,9.243,N+AF8-S,NWA+AF8-8,Borehole,SKZ,Granite
NWA+AF8-8B,NWA,8,B,NA,July+AF8-10,18.063,0.871,68.533,37.267,33.147,9.243,N+AF8-S,NWA+AF8-8,Borehole,SKZ,Granite
NYA+AF8-4A+AF8-S,NYA,4,A,S,July+AF8-8,18.297,0.553,76.933,37.633,33.255,8.817,N+AF8-S,NYA+AF8-4,Pipeline trough,HOU,Basalt
NYA+AF8-4B+AF8-S,NYA,4,B,S,July+AF8-8,18.297,0.553,76.933,37.633,33.255,8.817,,NYA+AF8-4,Pipeline trough,HOU,Basalt
WIT+AF8-2A,WIT,2,A,NA,June+AF8-24,15.313,0.584,173.600,48.867,33.078,9.397,N+AF8-S,WIT+AF8-2,Pipeline trough,SAT,Basalt
WIT+AF8-2B,WIT,2,B,NA,June+AF8-24,15.313,0.584,173.600,48.867,33.078,9.397,N+AF8-S,WIT+AF8-2,Pipeline trough,SAT,Basalt
